time,lat,lon,alt_GND[m],temp[°C],v[kmh],v[knts],cours[deg],Acc_x0[g],Acc_y0[g],Acc_z0[g],Gyro_x0[deg_s],Gyro_y0[deg_s],Gyro_z0[deg_s],Acc_x1[g],Acc_y1[g],Acc_z1[g],Gyro_x1[deg_s],Gyro_y1[deg_s],Gyro_z1[deg_s],Acc_x2[g],Acc_y2[g],Acc_z2[g],Gyro_x2[deg_s],Gyro_y2[deg_s],Gyro_z2[deg_s],Acc_x3[g],Acc_y3[g],Acc_z3[g],Gyro_x3[deg_s],Gyro_y3[deg_s],Gyro_z3[deg_s],Acc_x4[g],Acc_y4[g],Acc_z4[g],Gyro_x4[deg_s],Gyro_y4[deg_s],Gyro_z4[deg_s],sat[n]
27.05.2025 14:22:44.940,0,0,0,24.353529411764708,0,0,0,0.021869140625,0.02497265625,1.2610234375,4.02381679389313,1.3793893129770993,-7.449541984732825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.947,0,0,0,24.35058823529412,0,0,0,0.021869140625,0.025705078125,1.261755859375,4.03145038167939,1.1656488549618322,-6.304503816793893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.954,0,0,0,24.347647058823533,0,0,0,0.021869140625,0.02594921875,1.2610234375,4.0772519083969465,1.0511450381679388,-5.106030534351145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.961,0,0,0,24.347647058823533,0,0,0,0.0226015625,0.025705078125,1.2610234375,4.100152671755725,1.0129770992366411,-3.8312213740458017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.969,0,0,0,24.347647058823533,0,0,0,0.02308984375,0.02497265625,1.26053515625,4.138320610687023,1.0969465648854964,-2.8693893129770993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.976,0,0,0,24.35058823529412,0,0,0,0.02308984375,0.024728515625,1.260291015625,4.100152671755725,1.2725190839694658,-1.9228244274809159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.985,0,0,0,24.34470588235294,0,0,0,0.023822265625,0.0235078125,1.259802734375,4.008549618320611,1.463358778625954,-1.3884732824427481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.992,0,0,0,24.347647058823533,0,0,0,0.02308984375,0.02301953125,1.261267578125,3.8482442748091605,1.53206106870229,-1.0067938931297709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:44.999,0,0,0,24.35058823529412,0,0,0,0.021869140625,0.02253125,1.26151171875,3.5810687022900765,1.4557251908396946,-0.7930534351145038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.006,0,0,0,24.35058823529412,0,0,0,0.021625,0.022287109375,1.25955859375,3.4436641221374047,1.3946564885496182,-0.7014503816793893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.013,0,0,0,24.353529411764708,0,0,0,0.02113671875,0.021798828125,1.25955859375,3.3902290076335877,1.348854961832061,-0.7167175572519084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.020,0,0,0,24.35058823529412,0,0,0,0.0206484375,0.021310546875,1.2590703125,3.4131297709923665,1.3106870229007634,-0.7625190839694655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.028,0,0,0,24.35058823529412,0,0,0,0.02016015625,0.020822265625,1.259314453125,3.573435114503817,1.2725190839694658,-0.8083206106870229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.035,0,0,0,24.353529411764708,0,0,0,0.02016015625,0.020578125,1.258337890625,3.8406106870229006,1.1885496183206106,-0.8541221374045802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.042,0,0,0,24.353529411764708,0,0,0,0.019427734375,0.021310546875,1.259802734375,3.9856488549618323,1.0206106870229006,-0.8693893129770991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.049,0,0,0,24.35058823529412,0,0,0,0.018939453125,0.0215546875,1.261267578125,3.8940458015267176,0.6694656488549617,-0.8846564885496182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.056,0,0,0,24.353529411764708,0,0,0,0.018451171875,0.021798828125,1.260779296875,3.802442748091603,0.3183206106870229,-0.8922900763358779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.063,0,0,0,24.353529411764708,0,0,0,0.017962890625,0.021798828125,1.25955859375,3.7108396946564888,-0.05572519083969474,-0.8846564885496182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
